,,,,,Playing Time,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alejandro Zendejas,us USA,"FW,MF",24-357,20,20,"1,503",16.7,6,3,6,0,0,5,0,0.36,0.18,0.54,0.36,0.54,3.6,3.6,3.4,7.1,0.22,0.21,0.42,0.22,0.42,Matches
Diego Valdés,cl CHI,MF,29-000,20,19,"1,511",16.8,5,5,5,0,0,1,0,0.3,0.3,0.6,0.3,0.6,4.4,4.4,4.6,9.1,0.26,0.28,0.54,0.26,0.54,Matches
Jonathan Rodríguez,uy URU,FW,29-208,20,18,"1,460",16.2,7,1,7,0,0,1,0,0.43,0.06,0.49,0.43,0.49,5.8,5.8,2.5,8.3,0.36,0.15,0.51,0.36,0.51,Matches
Álvaro Fidalgo,es ESP,MF,25-296,21,17,"1,570",17.4,2,5,2,0,0,0,0,0.11,0.29,0.4,0.11,0.4,0.5,0.5,2.1,2.7,0.03,0.12,0.15,0.03,0.15,Matches
Guillermo Ochoa,mx MEX,GK,37-201,16,16,"1,440",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Henry Martín,mx MEX,FW,30-073,21,16,"1,422",15.8,15,7,13,2,3,0,0,0.95,0.44,1.39,0.82,1.27,10.8,8.4,3.5,11.9,0.68,0.22,0.9,0.53,0.75,Matches
Emilio Lara,mx MEX,DF,20-257,17,16,"1,405",15.6,1,3,1,0,0,2,0,0.06,0.19,0.26,0.06,0.26,0.5,0.5,0.8,1.2,0.03,0.05,0.08,0.03,0.08,Matches
Luis Fernando Fuentes,mx MEX,DF,36-138,18,15,"1,362",15.1,0,1,0,0,0,0,0,0,0.07,0.07,0,0.07,1,1,1.3,2.3,0.07,0.09,0.15,0.07,0.15,Matches
Nestor Araujo,mx MEX,DF,31-154,15,14,"1,263",14,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.02,0,0.03,0.02,0.03,Matches
